subject,channel,mean_isc_z,signal_type,stimulus
84,rTPJ,0.06257636063969296,HbO,Zima
84,rdlPFC,0.053141459389761114,HbO,Zima
84,vmPFC,0.06552824354255396,HbO,Zima
86,dmPFC,0.067096793713133,HbO,Zima
86,lTPJ,0.03822924495352602,HbO,Zima
86,ldlPFC,0.07020756439115722,HbO,Zima
86,rTPJ,0.029997372104382466,HbO,Zima
86,rdlPFC,0.08188354752545056,HbO,Zima
86,vmPFC,0.05626194245793274,HbO,Zima
87,dmPFC,0.018965353879703856,HbO,Zima
87,lTPJ,-0.00815079100688858,HbO,Zima
87,ldlPFC,0.020144928907508415,HbO,Zima
87,rTPJ,0.0029969861386557163,HbO,Zima
87,rdlPFC,-0.009953565844000726,HbO,Zima
87,vmPFC,0.00757011143142583,HbO,Zima
88,dmPFC,0.03907931665835808,HbO,Zima
88,lTPJ,0.015043675757865955,HbO,Zima
88,ldlPFC,0.04606739304390225,HbO,Zima
88,rTPJ,0.019840481641808645,HbO,Zima
88,rdlPFC,0.04143556581811844,HbO,Zima
88,vmPFC,0.05889261222077065,HbO,Zima
89,dmPFC,0.003879836449395691,HbO,Zima
89,lTPJ,-0.001595988388715657,HbO,Zima
89,ldlPFC,0.008161975601866472,HbO,Zima
89,rTPJ,0.003857952957654393,HbO,Zima
89,rdlPFC,-0.012346962040185816,HbO,Zima
89,vmPFC,0.008209839652648205,HbO,Zima
90,dmPFC,0.02036169503024547,HbO,Zima
90,lTPJ,0.0426591363720249,HbO,Zima
90,ldlPFC,0.014957130683114656,HbO,Zima
90,rTPJ,0.058803460873377386,HbO,Zima
90,rdlPFC,0.018449108311124077,HbO,Zima
90,vmPFC,0.02206805659372862,HbO,Zima
91,dmPFC,0.009331116852158771,HbO,Zima
91,lTPJ,0.005022995976629716,HbO,Zima
91,ldlPFC,0.025189944574185347,HbO,Zima
91,rTPJ,0.01255481784756524,HbO,Zima
91,rdlPFC,0.02627502959651086,HbO,Zima
91,vmPFC,0.010997469161314328,HbO,Zima
92,dmPFC,-0.0030273441115517964,HbO,Zima
92,lTPJ,0.0063959616861010045,HbO,Zima
92,ldlPFC,0.010167512819576908,HbO,Zima
92,rTPJ,0.03363779087791591,HbO,Zima
